iter	Passed	Remaining
718	104565	40866
719	104736	40730
720	104989	40626
721	105144	40485
722	105278	40335
723	105404	40181
724	105546	40034
725	105699	39892
726	105842	39745
727	105995	39602
728	106154	39462
729	106449	39371
730	106620	39235
731	106815	39107
732	106983	38969
733	107275	38876
734	107481	38751
735	107737	38644
736	107938	38518
737	108081	38370
738	108228	38224
739	108393	38084
740	108552	37942
741	108701	37796
742	108881	37661
743	109055	37524
744	109230	37387
745	109399	37248
746	109549	37103
747	109701	36958
748	109861	36816
749	110030	36676
750	110468	36626
751	110696	36506
752	110846	36359
753	111008	36217
754	111177	36077
755	111329	35931
756	111487	35787
757	111625	35637
758	111774	35490
759	111927	35345
760	112079	35199
761	112228	35053
762	112397	34912
763	112553	34767
764	112705	34621
765	112852	34474
766	112995	34325
767	113134	34176
768	113274	34026
769	113427	33881
770	113578	33734
771	113728	33588
772	113886	33443
773	114048	33300
774	114190	33152
775	114323	33000
776	114456	32849
777	114620	32706
778	114752	32554
779	114885	32403
780	115014	32251
781	115145	32099
782	115274	31947
783	115402	31794
784	115529	31641
785	115669	31492
786	115798	31340
787	115926	31188
788	116060	31037
789	116195	30887
790	116333	30737
791	116464	30586
792	116611	30439
793	116746	30289
794	116874	30137
795	117005	29986
796	117130	29833
797	117257	29681
798	117396	29532
799	117526	29381
800	117659	29231
801	117792	29080
802	117921	28929
803	118051	28778
804	118183	28628
805	118316	28478
806	118450	28328
807	118583	28178
808	118715	28028
809	118846	27877
810	118975	27726
811	119106	27576
812	119235	27425
813	119370	27276
814	119499	27125
815	119629	26975
816	119758	26824
817	119884	26673
818	120042	26529
819	120179	26380
820	120304	26229
821	120434	26079
822	120572	25931
823	120703	25781
824	120833	25631
825	120965	25481
826	121097	25332
827	121225	25182
828	121352	25031
829	121486	24882
830	121619	24733
831	121752	24584
832	121878	24434
833	122005	24284
834	122138	24135
835	122270	23986
836	122407	23837
837	122576	23696
838	122723	23549
839	122880	23405
840	123015	23257
841	123146	23108
842	123279	22959
843	123439	22815
844	123573	22667
845	123701	22517
846	123837	22369
847	123967	22220
848	124112	22074
849	124242	21925
850	124369	21775
851	124499	21626
852	124631	21478
853	124756	21328
854	124888	21179
855	125016	21030
856	125173	20886
857	125320	20740
858	125447	20591
859	125584	20444
860	125711	20294
861	125841	20146
862	125969	19997
863	126097	19848
864	126223	19699
865	126353	19551
866	126480	19402
867	126604	19253
868	126734	19104
869	126866	18957
870	126996	18808
871	127121	18660
872	127247	18511
873	127373	18362
874	127499	18214
875	127625	18065
876	127750	17917
877	127875	17768
878	128003	17620
879	128129	17472
880	128273	17326
881	128405	17178
882	128531	17030
883	128664	16883
884	128787	16735
885	128926	16588
886	129054	16440
887	129190	16294
888	129317	16146
889	129454	15999
890	129582	15852
891	129719	15705
892	129846	15558
893	129974	15410
894	130101	15263
895	130233	15116
896	130365	14969
897	130489	14821
898	130612	14673
899	130736	14526
900	130864	14379
901	130991	14231
902	131118	14084
903	131252	13938
904	131401	13793
905	131527	13646
906	131773	13511
907	131927	13367
908	132078	13222
909	132227	13077
910	132377	12932
911	132526	12787
912	132682	12643
913	132826	12497
914	132991	12354
915	133172	12212
916	133309	12066
917	133455	11920
918	133606	11775
919	133750	11630
920	133889	11484
921	134028	11338
922	134183	11194
923	134340	11049
924	134498	10905
925	134678	10762
926	134856	10619
927	135032	10476
928	135205	10333
929	135358	10188
930	135508	10043
931	135816	9909
932	136016	9767
933	136167	9622
934	136326	9477
935	136487	9332
936	136654	9188
937	136895	9048
938	137193	8912
939	137346	8766
940	137647	8630
941	137802	8484
942	137948	8338
943	138099	8192
944	138243	8045
945	138381	7899
946	138518	7752
947	138653	7605
948	138789	7458
949	138923	7311
950	139059	7165
951	139194	7018
952	139330	6871
953	139467	6724
954	139607	6578
955	139740	6431
956	139880	6285
957	140016	6138
958	140157	5992
959	140293	5845
960	140446	5699
961	140654	5555
962	140811	5410
963	140974	5264
964	141130	5118
965	141282	4972
966	141429	4826
967	141581	4680
968	141733	4534
969	141885	4388
970	142035	4242
971	142197	4096
972	142338	3949
973	142476	3803
974	142613	3656
975	142750	3510
976	142884	3363
977	143019	3217
978	143154	3070
979	143296	2924
980	143432	2778
981	143566	2631
982	143702	2485
983	143839	2338
984	143971	2192
985	144106	2046
986	144238	1899
987	144394	1753
988	144537	1607
989	144673	1461
990	144807	1315
991	144942	1168
992	145079	1022
993	145215	876
994	145351	730
995	145489	584
996	145626	438
997	145784	292
998	145922	146
999	146059	0
